id,stedsnavn,kommune,vassdrag,regine,vurdering_raw,barrier_category,barrier_color,barrier_label,problem_beskrivelse,diameter_cm,lengde_m,kommentar,kommentar_utfyllende,lon_ned,lat_ned,lon_opp,lat_opp
21,Gjerstad ,Gjerstad,"Sunda, bekkefelt",018.2C,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,8.0,"Kulvert liten, og ikke veldig fin bekk oppstrøms. ",0,9.06041475653373,58.8325242595514,9.060268027190263,58.8325857573404
22,Mandal ,Lindesnes,Eidsåna,022.AA1B,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,12.0,"Merkelig bekkeløp nedstrøms. Usikker på om bekk er egnet for fisk. Kulvert isåfall kanskje mulig å passere, usikker",0,7.641946932751298,58.16809246804485,7.641601414444098,58.16834349234351
23,Ålefjær,Vennesla,Ålefjærfjorden bekkefelt,021.121Z,Ikke hinder,Ikke hinder,#1a9641,Ikke et vandringshinder,,,17.0,"Enten så er denne vinklet ellerRedusert vanndybde på grunn av mye slam og sediment i kulverten. Observerte ål/fisk, regner ikke denne for et vandringshinder. Noe tør, og er mulig sediment burde vært gravd ut. ",0,7.989388928449539,58.2507534696268,7.988686730879126,58.250679226830066
24,Vegårshei ,Vegårshei,"Ufsvatn, bekkefelt",019.C3,Ikke hinder,Ikke hinder,#1a9641,Ikke et vandringshinder,,,10.0,"Kan se alle tre utløpende nedstrøms, hvor 2 av disse kan ses igjennom. Tør bekk etter pytt nedstrøms. Ser frosk og rumpetroll nedstrøms. ",0,8.691330614498991,58.717320021135144,8.691227964485599,58.71726484682222
25,Kroken 3602 (''sidebekk'' fra Nidelva),Grimstad,Nidelva Furre - Rygene kraftverk bekkefelt,019.B1,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,15.0,"Denne vil være hinder hvis fisk kommer så langt opp. Er mye slam i stikkrenne, og denne er liten ",0,8.610475805061494,58.40395721516219,8.610526860182523,58.403755967471206
26,Mandal ,Kristiansand,Kumlefjorden bekkfelt,022.226,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,20.0,"Setter usikker på hinder på denne, på grunn av lengden. Men grei bekk nedstrøms. Og fisk/ål kommer seg greit til inngang til kulverter ",0,7.6943439485872736,58.05063344553641,7.694199420139459,58.05021216064361
27,Søgne vgs ,Kristiansand,Søgneelva - Brennåsen til utløp,022.1A12,Ikke hinder,Ikke hinder,#1a9641,Ikke et vandringshinder,,,10.0,"Sannsynligvis grei å vandre gjennom. Stikkrenna er lav, og vil muligens være under vannstand ved mye vann. Er mye vegetasjon som delvis sperrer kulverten. Sannsynligvis ok for gjennomvandring",0,7.849617872314645,58.08977670785859,7.849597062021939,58.089921564061974
28,Arendal ,Arendal,,018.711,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,15.0,"Usikker på om kulvert ville vært hinder, ved nok vann til å støtte fisk. Sannsynligvis ok. Helt tør bekk nedstrøms og oppstrøms ",0,8.965973251460088,58.542632561748306,8.965509278043037,58.542597258318224
29,Mandal 4 ,Lindesnes,Mandalselva - Øyslebø til Mandal,022.A6,Ikke hinder,Ikke hinder,#1a9641,Ikke et vandringshinder,,,8.0,"Ikke hinder, fin kulvert, noe lav. Grunneier ønsker bedre drenering før kulvert. ",0,7.491127159147046,58.04269700425536,7.49087623982932,58.042707343648104
30,langenesveien,Kristiansand,Kristiansandsfjorden indre bekkefelt,021.23Z,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,10.0,"vann i røret, tørt å oversiden. sannsynligvis ikke vandringshinder. tørt etter RØR",Ubetydelig bekk?,7.940446214063587,58.10848373132569,7.9403838317549615,58.10852716456461
31,Arendal ,,,018.7B,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,8.0,"Veldig stillestående vann, Ser ut som om det har begynt å dannes bekkeløp på siden av veien også. ",0,8.844037534098181,58.574126795344974,8.844241644817785,58.5741767900187
32,Arendal ,Arendal,"Assævannet, bekkefelt",019.A1Z,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,13.0,"Fin steinkulvert. Er registrert som usikker i forhold til hinder fordi denne er smal og det samler seg noe kvist inni kulvert. Ikke nok til å være barriere, men kan gjøre gjennomvandring noe vanskeligere ",0,8.724842191975306,58.496969651252044,8.72497414767669,58.49705655962538
33,Mandal ,Lindesnes,Jåbekken bekkfelt,022.32A,Ikke hinder,Ikke hinder,#1a9641,Ikke et vandringshinder,,,12.0,Sannsynligvis grei. Men ligger en del fin sand inni stikkrenne. Mudrete substrat nedstrøms.,0,7.515886163424415,58.02717658036933,7.516027428404203,58.02706232437542
34,Arendal ,,,018.7B,Ikke hinder,Ikke hinder,#1a9641,Ikke et vandringshinder,,,8.0,Kulvert ser ok ut. Men vassdrag bør sjekkes lengre nede ,0,8.84471802448127,58.574292443226945,8.844948938260517,58.574351207913786
35,Arendal ,Arendal,,019.A1Z,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,17.0,"Usikker på hinder på grunn av lengde, men fin ingang til kulvert og fint habitat nedstrøms ",0,8.687838960715485,58.4779067983464,8.687973030523134,58.47813538768054
36,Arendal ,Arendal,,018.72,Ikke hinder,Ikke hinder,#1a9641,Ikke et vandringshinder,,,10.0,"Grei kulvert, ikke hinder. ",0,8.832538043912331,58.48429261851648,8.831432324491383,58.48410390901754
37,Lagveien (bekk Gulspettvannet),,Elv Gulspettvannet -Størdalsvannet,018.5Z,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,7.0,"Kulvert noe hinder, ved lav vannføring lekker kulvert vann, og bekk er helt tør nedstrøms. Mulig bedre ved høyere vannføring ",0,9.084996644531888,58.66463153751595,9.085031103327596,58.66473039689407
38,Våjeveien (bekk mellom Molandsvann og Langangsvannet),,Sagenebekken,018.7A0,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,12.0,"100% barriere, ikke tydelig utløp fra kulvert, steinete utløp. I tillegg til gitter oppstrøms, gjør denne til barriere for oppvandring ",0,8.861998553366865,58.53720851117633,8.86167970717128,58.53715019391276
39,Arendal ,Arendal,,018.711,Ikke hinder,Ikke hinder,#1a9641,Ikke et vandringshinder,,,8.0,"Ikke vandringshinder, men veldig stillestående vann, med preg av avrenning fra landbruk. Med grei vannføring her kan dette være en gytebekk, hvis ikke blokkert lengre nede. ",0,8.97625662679943,58.54536564267731,8.976087383489087,58.545372805296836
40,langenesveien ,Kristiansand,Kristiansandsfjorden indre bekkefelt,021.23Z,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,8.0,"barriere ved lav vannstand, men sannsynligvis passerer noe fisk. kjempebjørnekjeks langs bekken.",0,7.934765794440546,58.10734783593775,7.934741003405302,58.10720723092511
41,Søm,Lillesand,Kvåsefjorden - Kvarenesfjorden bekkefelt,020.4231,Ikke angitt,Ikke angitt,#999999,Ikke vurdert / mangler data,,,15.0,Gjennfinner ikke utløp,0,8.187363679630682,58.16371284120237,8.18688235294356,58.163981478299824
42,Arendal ,Arendal,,018.711,Ikke angitt,Ikke angitt,#999999,Ikke vurdert / mangler data,,,0.0,"Gjenfinnes ikke nedstrøms, mulig gravd over ",0,8.96946687153375,58.543643618796274,8.969517140232155,58.543561002899324
43,"Jernbaneveien (sidebekk Nesevja, som renner ut i Nidelva)",Arendal,Nidelva Furre - Rygene kraftverk bekkefelt,019.B1,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,20.0,"Nederste del av kulvert er løsnet, resten er fylt igjen med jord. ",0,8.621837618726902,58.4346229456585,8.621837470542038,58.43451059529082
44,Kristiansand ,Kristiansand,,020.A12,Ikke hinder,Ikke hinder,#1a9641,Ikke et vandringshinder,,,7.0,"Denne bør sjekkes om er anadrom strekning lengre nede, fin steinkulvert. Ikke hinder, men usikker på hvordan vannføring er her. Ikke noe vann nå ",0,8.118916793499354,58.22242958829019,8.11913539052131,58.22244182069623
45,Grimstad ,Grimstad,"Rore, bekkefelt",019.AZ,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,12.0,En av rørene kunne nok med fordel ha vært litt lavere. Plaststikkrenne bør kunne passeres ved høyere vannføring. Er fisk nedstrøms som er fanget på grunn av lav vannstand. ,0,8.597269456876385,58.389026303926094,8.597414670858214,58.389029158404696
46,Audnedalsveien 1445,Lindesnes,,023.B110,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,8.0,Lite vann i kulvert nå,0,7.346682188910784,58.193514453960795,7.355620203870434,58.189196544759994
47,Lillesand ,Lillesand,"Blindleia - Nesefjorden, bekkefelt",020.2220,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,30.0,Underdimensjonert kulvert med tanke på lengde. Usikker på hvordan denne er å vandre gjennom.  Brakkvann nedstrøms. ,0,8.37629804713163,58.21868425071472,8.375663740911593,58.2188282407996
48,Bøylestadveien (grøft fra Østresolheimsvannet),Froland,,019.B31,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,0.0,"Kulvert er nok hinder, men ikke noe interessant habitat oppstrøms. ",0,8.695275777401317,58.55731563656097,8.695125576833734,58.55738649321876
49,Hødnebøveien (forbindelse mellom Skarvann og Lonene),Risør,"Skardvatnet, utløpselv",018.1C,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,10.0,"2 små kulverter, noe stengt av kvist oppstrøms. Grei vannføring, men noe hinder.",0,9.268877208285879,58.760610310839596,9.26869693597084,58.76064210215092
50,Moveien (Sidebekk Vegår),Vegårshei,Vegår bekkefelt,018.F,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,12.0,"Hinder, begge stikkrennene er tett oppstrøms, vann graver seg på siden av stikkrenner. litt kvist i bekk nedstrøms. Helt tør bekk. ",0,8.863482455720431,58.83429352525444,8.863658686497102,58.83438854960236
51,Eid 3980 (bekk renner ut i Kumlefjorden),Kristiansand,,022.226,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,14.0,Denne er jeg også usikker på. Er 2 stikkrenner i forskjellig diameter. Der det er litt høyde opp mot den største. Den lille har veldig høy vannhastighet. Ser for meg at denne er krevende for nåde anadrom fisk og ål. ,0,7.661778167754324,58.04306608624877,7.661554802989596,58.043099383246854
52,Vålandsveien (sidebekk Marendalselva),Tvedestrand,Elv fra Øynesvann bekkefelt,018.C23,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,14.0,"Tenker denne er hinder, da det er litt høyt fra vannflate til kulvert. Plus at siste del av stikkrenne ser ny ut. ",0,8.814197570039612,58.61317898412673,8.813894287737375,58.61318952073775
53,Mandal ,Lindesnes,Mannefjorden bekkefelt,022.322,Ikke hinder,Ikke hinder,#1a9641,Ikke et vandringshinder,,,12.0,Ser fisk nedstrøms. Kulvert ser ikke ut som hinder. Men bekk ser ut til å bære preg av avrenning fra anlegg lengre oppstrøms. ,0,7.512088283313803,58.01267548921741,7.5121735689324245,58.01274781431081
54,Mandal Finslandsvegen,Kristiansand,Meåna,022.AC5,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,8.0,"Helt tør bekk, og noe igjengrodd innløp. Skal mye vann her for st fisk skal kunne vandre. Sannsynlig bare drenering ",0,7.597104470633516,58.289770450975674,7.596894078028777,58.289597953481135
55,Fosseveien (Einermobekken),Kristiansand,,020.A40,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,15.0,"Vandringsbarriere, er 300cm til der jeg tror vanstanden vil være ved grei vannføring. ",0,8.145803794255023,58.251303636979316,8.145536832756058,58.251347122367555
56,Søm ,Kristiansand,Østergapet-ytre bekkefelt,020.4240,Ikke hinder,Ikke hinder,#1a9641,Ikke et vandringshinder,,,4.0,"Ikke under fylkesvei, på siden. Stikkrenne ligger lavt i bekken. Mye mudder og gjengrodd bekk. ",0,8.124151814546208,58.12894294120017,8.124874802292096,58.12886586892397
57,Frolandsveien (sidebekk Mårvannet),Froland,,019.A1Z,Ikke angitt,Ikke angitt,#999999,Ikke vurdert / mangler data,,,15.0,"Kulvert rast i front. Kulvert ser fin ut, lite vann. Men kan ikke se gjennom kulvert, derfor usikker på hinder. Grunneier mente denne holdt på å utbedres.",0,8.658800244910386,58.49188305081102,8.659174382535408,58.49209251281731
58,Tauleveien (bekk fra Skrubbedalstjenn),Grimstad,,019.A,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,15.0,"Tenker denne er lagt noe høyt. Bekk er helt tør nedstrøms. Er noe småfisk nedstrøms, men disse er fanget. ",0,8.598758793038211,58.38745449885496,8.598813341986068,58.38734242656702
59,Grimstad ,Grimstad,"Vestre Bjørkesund - Sønningdalsund, bekkefelt",020.11Z,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,20.0,"Usikker på hinder. Liten stikkrenne. Helt tør, gjengtrodd bekk. ",0,8.467244363582807,58.27743066822811,8.46754251912873,58.27755464693959
60,gillsvannet,Kristiansand,,021.123Z,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,20.0,både gitter og stålplate nedstrøms vil gjøre dette til hinder  men ikke barriere. hvorfor plate? bedre vannføring hadde gjort ok.,"Hinder, uviktig bekk",8.034815589272762,58.19258889759248,8.035303118711044,58.19231158773588
62,Vegårshei ,Vegårshei,Vegårvasselva,018.G,Ikke hinder,Ikke hinder,#1a9641,Ikke et vandringshinder,,,10.0,"Noe redusert bekk, sannsynligvis ok. ",0,8.862274064005684,58.8359312095284,8.8624013115901,58.83596876851145
63,Vegårshei ,Vegårshei,Vegår bekkefelt,018.F,Ikke hinder,Ikke hinder,#1a9641,Ikke et vandringshinder,,,10.0,"Liten stikkrenne, men ser ok ut. ",0,8.87537120887543,58.83441226453825,8.875358563727753,58.83449899872373
64,Langangsveien (sidebekk Langangselva),Tvedestrand,Langangselva bekkefelt,018.7AZ,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,10.0,"Er en del kvist oppstrøms, som delvis blokerer. Ser fisk nedstrøms, lite vann. Men kulvert ser ok ut.",0,8.90637405732449,58.55767103734639,8.906273774015249,58.55756951180094
65,Arendal ,Arendal,Molandsvann bekkefelt,018.7B,Ikke hinder,Ikke hinder,#1a9641,Ikke et vandringshinder,,,12.0,"Veldig lite vann, men bør være fiskeførende ved høyere vannstand. Kulvert sannsynligvis ok ",0,8.834205642454117,58.554007124089445,8.834303298036634,58.554054779030174
66,Gjerstad ,Gjerstad,"Storelva (Lundvatnet - Gjerstadvatnet), bekkefelt",018.2E4,Ikke hinder,Ikke hinder,#1a9641,Ikke et vandringshinder,,,8.0,"Overraskende god vannkvalitet. Kulvert forsvinner under jorder på begge siders. Kulvert sannsynligvis grei, usikker på om det kommer fisk opp hit ",0,8.96610710441519,58.89803374841503,8.966299344300891,58.898225251116195
67,Arendal ,Arendal,Nidelva Furre - Rygene kraftverk bekkefelt,019.B1,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,20.0,Noe landbrukspreget bekk. Usikker på hinder ,0,8.627417907185016,58.41353926482426,8.62762295582256,58.41384733524114
68,Gjerstad ,Gjerstad,,018.2C,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,10.0,Mulig hinder. Lite vann og tre gjennom kulvert. ,0,9.032304761298798,58.8230061853995,9.032295924751722,58.82313127349909
69,Tregdeveien (bekk renner ut mot myr/Lillestøltjørna),Lindesnes,Harkmarkfjorden bekkfelt,022.321,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,12.0,Enten ligger denne veldig lavt. Ellers så er siste betongelementet løsnet. Ser ut som hinder. ,0,7.608622175270132,58.02206030989464,7.608406019730512,58.022093996248515
70,Mandal ,Kristiansand,Trysfjorden bekkefelt,022.22Z,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,20.0,"Mulig hinder, er forskjellig rør i utløp og innløp. Så disse er koblet sammen under veien et sted. Kan være hinder. Bekk fin nedstrøms. Og der går vann gjennom kulvert. ",0,7.619498344514567,58.12576929392225,7.619204983757321,58.12607002221308
71,Mandal ,Kristiansand,Trysfjorden bekkefelt,022.22Z,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,15.0,"Mulig hinder, da denne ser ut til å være skjøtet på midten, betongstikkrenne i topp og plaststikkrenne i bunn. ",0,7.6237148280749585,58.120294672364366,7.623523115688831,58.12025438888574
72,Mot søgne ,Kristiansand,Herøyfjorden - Sandvikdalsfjorden bekkefelt,022.110,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,12.0,"Bør utbedres. Rør er lite og samler mye rusk i åpning på grunn av vannrør. Selve stikkrenna er noe liten, og vil kunne få veldig høy vannhastighet. Demningen nedenfor kulp vil kunne være barriere. ",0,7.912752412617985,58.07614578644947,7.912355437800416,58.07618156253351
73,Grimstad ,Grimstad,,019.2161Z,Ikke hinder,Ikke hinder,#1a9641,Ikke et vandringshinder,,,10.0,"Selve kulvert er nok ikke hinder, men er veldig bratt opp mot innløp. ",0,8.59412547263366,58.37377188579858,8.594029456844474,58.37381519628206
74,Mandal 8 ,Lindesnes,Mandalselva - Øyslebø til Mandal,022.A6,Ikke hinder,Ikke hinder,#1a9641,Ikke et vandringshinder,,,8.0,"Ser fisk nedstrøms. Ikke vandringshinder, sannsynligvis ok ålehabitat oppstrøms. Men litt bratt ",bru,7.506108906514776,58.060055072352746,7.505841620501466,58.06008682799403
75,Mandal ,Kristiansand,Mandalselva - Laudal til Øyslebø bekkefelt,022.B1Z,Ikke hinder,Ikke hinder,#1a9641,Ikke et vandringshinder,,,8.0,"Ser ikke helt utløp, sannsynligvis bare drenering fra landbruk. ",0,7.587856281762369,58.300247771254114,7.58802083537342,58.30026628720196
76,Grimstad ,Grimstad,Bekker ved Hestehaven - Tjore,019.2Z,Ikke hinder,Ikke hinder,#1a9641,Ikke et vandringshinder,,,22.0,"Ikke hinder, men noe jord og sand i kulvert. Gjengrodd bekk, med lite vann. ",bru,8.518270947722822,58.31149975279555,8.5185411420377,58.311213623135686
77,Dyrstadveien (bekk fra Farestadtjernet ned til fjord),Lindesnes,Mannefjorden bekkefelt,022.322,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,18.0,Vandringshinder ved mindre det er mye mer vann en nå. Mulig kulvert skulle lagt lavere oppstrøms. ,0,7.519665212111037,57.990017784847055,7.519421728447412,57.99012846508539
78,Mandal ,Lindesnes,Mannefjorden bekkefelt,022.322,Ikke hinder,Ikke hinder,#1a9641,Ikke et vandringshinder,,,7.0,"Ser ikke ut som hinder, men er helt tørt. ",0,7.516034273764869,58.019362501682934,7.516116602185761,58.01943935295178
79,Grimstad ,Grimstad,,019.216Z,Ikke hinder,Ikke hinder,#1a9641,Ikke et vandringshinder,,,12.0,"Ikke hinder, så lenge rørene ikke tettes med kvist. Mye vegetasjon i bekk. ",0,8.579177014466266,58.33692953702109,8.579009572586193,58.336863617701766
80,Kroken 3602 (sidebekk fra Nidelva),Grimstad,Nidelva Furre - Rygene kraftverk bekkefelt,019.B1,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,20.0,"Nederste betongelementer i kulvert er løsnet, og denne blir hinder og sannsynligvis barriere. Bør utbedres. Noe gjengrodd bekkeløp nedstrøms, men ok. ",0,8.608818398581906,58.403866455466165,8.608402784263534,58.403664600561356
81,Hesland,Lindesnes,,022.A21,Ikke hinder,Ikke hinder,#1a9641,Ikke et vandringshinder,,,15.0,0,0,7.425772971797385,58.05559551851525,7.42599162281345,58.055654808161066
82,Harkmarksveien (bekk renner ut i Dalskilen),Lindesnes,,022.226,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,12.0,"Tenker denne er hinder, lav vannføring og en del høyde opp mot innløp. ",0,7.648598047909889,58.02832730664046,7.648365970188164,58.028366093015414
83,Mandal ,,Kumlefjorden bekkfelt,022.226,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,10.0,Ser ut som om den lange kulverten under jordet lander her. Men er litt lav vannføring så er usikker. Denne er mulig hinder.  ,0,7.6942375004477395,58.04943164014728,7.6942440444930424,58.049419454425106
84,Harkmarksveien (bekk renner ut i Eidskilen),,,022.226,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,30.0,"Usikker på denne, grunneier mener denne stikkrenne stopper fisk. Gjengrodd bekk nedstrøms. ",0,7.643191867637708,58.04357740233977,7.643773957020526,58.043691975988615
85,Hove ,,,019.11,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,10.0,"Lav kulvert, men bør kunne passeres. Mye vegetasjon foran kulvert begge sider ",0,8.844886141058492,58.44819820902636,8.844857840677127,58.448271607008756
86,Mandal ,Lindesnes,Skagestadvatnet bekkefelt,022.3C,Ikke hinder,Ikke hinder,#1a9641,Ikke et vandringshinder,,,7.0,Kulvert sannsynligvis ok. ,0,7.553713880236974,58.06811416324702,7.553654952595107,58.06809322800137
87,Grimstsdb,Grimstad,Nidelva Furre - Rygene kraftverk bekkefelt,019.B1,Ikke hinder,Ikke hinder,#1a9641,Ikke et vandringshinder,,,18.0,"Kulvert ser ok ut nedstrøms. Veldig lite vann, men bekkeleie indikerer bekk med noe størrelse ved normal vannføring. ",0,8.605517229679634,58.40469892491304,8.605703703433083,58.40485281430806
