id,stedsnavn,kommune,vassdrag,regine,vurdering_raw,barrier_category,barrier_color,barrier_label,problem_beskrivelse,diameter_cm,lengde_m,kommentar,kommentar_utfyllende,lon_ned,lat_ned,lon_opp,lat_opp,lon_snappet,lat_snappet,snap_avstand_m,elvenett_avstand_m,snap_kilde,fkb_avstand_felt_m,score_upalitelig,oppstrom_lengde_km,oppstrom_innsjo_km2,prioriteringsscore
117,Arendal ,Arendal,Nidelva Furre - Rygene kraftverk bekkefelt,019.B1,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,22.0,"Så noe som vaket, enten frosk eller fisk. Er 2 kulverter, der kun den ene er i bruk. Kulvert mulig hinder siden den er lang og kan være tett. Landbrukspreget bekk ",0,8.62247464600512,58.448179262555165,8.622279625475459,58.44835993517926,8.622474776437363,58.448179320022746,0.00994497062996798,6.247911042628068,FKB-Vann,0.009944970596064515,False,0.7822331094771039,0.0,34
122,Kystveien ,Arendal,,019.1210,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,15.0,"Sannsynligvis vandringshinder lengre opp, fin bekk ned mot sjøen. ",0,8.8135144268467,58.472497537012046,8.81398186242183,58.472537185860375,8.813527147976489,58.4724972115864,0.7428905230770408,752.9070055653615,FKB-Vann,0.7428905230459912,True,,,
136,Arendal ,Arendal,"Flostadøysund, bekkefelt",018.712,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,10.0,"Kulvert ikke hinder, men er ikke noe serlig bekk nedstrøms, veldig mye vegetasjon",0,8.951162051762601,58.55218840452822,8.951742898564333,58.5523102573924,8.951229808322557,58.55211065076031,9.513046089067897,9.513046089067897,Elvenett,468.6254667104195,False,0.7783637314540945,0.07,54
142,Arendal ,Arendal,"Longumvatnet, bekkefelt",019.12Z,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,12.0,"Grei kulvert nedstrøms, og fint bekkeløp. Bekk er helt tør. Stålkulvert, som er noe ødelagt innvendig oppstrøms. Se bilder på punkt oppstrøms. ",0,8.74684350292269,58.487697840438834,8.746636601449977,58.48763828961418,8.746840549912358,58.48770042759377,0.3355901702534413,3.369841775378317,FKB-Vann,0.33559016987529655,False,0.7178721978119935,0.0,32
144,Skoleveien (bekk fra Stemmetjønn til fjord),Arendal,"Flostadøysund, bekkefelt",018.712,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,10.0,"Finner ikke utløp, veldig mye vegetasjon, gravd ned? ",0,8.869431572300067,58.50062665284006,8.869220935755544,58.50078493243331,8.869426229941562,58.500625412150235,0.34063184818273784,1.613597065269407,FKB-Vann,0.34063184823783726,False,1.2506727012643364,0.06,65
172,Tvedestrand ,Arendal,Bekk til Strengereidvannet,018.712,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,10.0,"Usikker på hinder, siden man ikke ser gjennom kulvert. Mistenker at denne er delvis fylt med sand og jord på grunn av vannhastighet. Og siden den ligger så dypt. Fin bekk nedstrøms, men noe kvist i bekk. ",0,8.89684309541206,58.53768238895748,8.897003808688726,58.53782993698207,8.896799452900908,58.537699797349354,3.195797190614101,30.391639593614023,FKB-Vann,3.195797190478844,False,1.252749697888375,0.0,47
184,Arendal ,Arendal,"Nidelva, Bekkefelt Helle",019.A12Z,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,18.0,Småfisk i bekk nedstrøms. Usikker på om denne er hinder. Kan se ut som at ved lav vannføring renner vann ikke gjennom selve kulverten. Plus at betongelement er delvis løsnet oppstrøms. ,0,8.66038961979674,58.42805474694941,8.660596070351014,58.42815250962431,8.660382438256883,58.42805747417253,0.5178004972172271,3.4483755835197276,FKB-Vann,0.5178004969655341,False,1.92180404542444,0.03,68
187,Arendal,Arendal,Mørløsvatnet - Nidelva,019.B20,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,16.0,"Noe høyde opp mot kulvert, men kulvert så dyp at denne bør kunne passeres (ikke ål) ved høyere vannføring. Er flere fisk nedstrøms, disse kommer ikke ned til elv ved lav vannføring. ",0,8.586659272543683,58.44209057565346,8.586736926093472,58.4422319168466,8.586669711379162,58.442082538493,1.0826713126147716,2.194806076151247,FKB-Vann,1.0826713126147716,False,0.5593366070371258,0.0,26
234,Arendal ,Arendal,Molandsvann bekkefelt,018.7B,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,15.0,"Selve kulvert er nok ikke hinder. Men er veldig bratt opp mot kulvert, uten veldig tydelig bekkeløp. ",0,8.8062940087741,58.54370235272559,8.805791751366172,58.54370737842513,8.80638987297007,58.543663250188594,7.077813887756698,7.077813887756698,Elvenett,484.88590384714604,False,0.6453218108453166,0.0,28
241,Riseveien / Jernbaneveien (bekk del av Riseevja som renner ut i Nidelva),Arendal,Messelbekken,019.B1,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,18.0,Demning blokkerer foran kulverter. Selve kulvert sannsynligvis ok. ,0,8.629023127613484,58.46609340299915,8.629155316720421,58.46593917797298,8.629023127613484,58.46609340299915,0.0,0.5997154440301662,FKB-Vann,0.0,False,3.830910733778126,0.11,84
257,Arendal ,Arendal,Nidelva Furre - Rygene kraftverk bekkefelt,019.B1,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,20.0,Renner omtrent ikke noe vann gjennom denne. Grei bekk nedstrøms. ,0,8.620781881706577,58.44495575291543,8.62120081651813,58.44508371118588,8.620781881706577,58.44495575291543,0.0,1.7043877956190574,FKB-Vann,0.0,False,1.1728686834261464,0.0,43
259,Arendal,Arendal,Molandsvann bekkefelt,018.7B,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,40.0,"Sannsynligvis ikke hinder. Greit bekkeløp nedstrøms, men vanskelig å finne oppstrøms.",0,8.799950630321632,58.53159968996475,8.799194436618523,58.53181457378672,8.799903215519706,58.531567162062515,4.554133615011839,4.554133615011839,Elvenett,60.469198007637644,False,0.8020074618054253,0.0,36
281,Arendal ,Arendal,Mørløsvatnet - Nidelva,019.B20,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,22.0,2 betongkulverter under bru. Vann passerer i kulverter ved lav vannføring.  Disse er tilbøyelige til å tettes oppstrøms. Ligger 3 sykler i bekk nedstrøms. ,bru,8.584000062145229,58.44241287456844,8.583873860341019,58.44250193916894,8.584000062145229,58.44241287456844,0.0,3.5759217586659426,FKB-Vann,0.0,False,18.31960966010916,1.11,97
285,Tromøy,Arendal,,019.11,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,10.0,"Ikke barriere, noe hinder. mye vegetasjon og igjengrod bekk. Selve kulvert mulig litt liten. Noe fisk bør passere.",0,8.90029550599602,58.50049860646099,8.90023789877216,58.50030182517371,8.914528056662487,58.49689175422732,921.6428861156443,921.6428861156443,Elvenett,1100.3980500629013,False,0.0,0.0,17
288,Tromøy,Arendal,,019.11,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,25.0,Sannsynligvis ikke fiskeførende. ,0,8.859094919539697,58.47124650527719,8.85955350445802,58.4700664747951,8.85949581706901,58.46803980631653,357.80350806168,357.80350806168,Elvenett,1073.8469534127657,False,0.0,0.0,17
297,Arendal ,Arendal,"Nidelva, Bekkefelt Helle",019.A12Z,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,14.0,"Klein vannkvalitet nedstrøms. Mulig hinder, er litt høyde opp mot kulvert og bekk i stinging før dette. Ingen kulp og hoppe fra. ",0,8.64397711804937,58.42043318469958,8.643617402054291,58.42031547006378,8.643973245390274,58.42043731060562,0.5120633069719918,0.5120633069719918,Elvenett,534.544681183115,False,0.9868018842683437,0.0,40
299,Arendal ,Arendal,Molandsvann bekkefelt,018.7B,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,7.0,Kulvert er nok ikke noe mer hinder en det selve bekken er. Tvilsomt at denne bekken fører fisk ,0,8.835048708263653,58.531315121373446,8.8349013731152,58.53115240610953,8.835011969564825,58.53131596693077,2.1414082216496264,4.084901463086776,FKB-Vann,2.1414082216496264,False,0.5217983707508209,0.0,25
301,Tromøy ,Arendal,,019.11,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,8.0,"Kulvert under jorde, mye vegetasjon som vil kunne sperre ",0,8.899100163715929,58.4855923008111,8.898933417042993,58.48545177277087,8.899100163715929,58.4855923008111,0.0,856.2804576495218,FKB-Vann,0.0,True,,,
317,Arendal ,Arendal,Nidelva Furre - Rygene kraftverk bekkefelt,019.B1,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,0.0,"Grei bekk nedstrøms, renner 2 forskjellige kulverter ut her. Litt lav vannstand, men renner en del vann igjennom. ",0,8.620717894573207,58.44493053221199,8.620907650054571,58.44528621332743,8.620717894573207,58.44493053221199,0.0,2.1254491710592838,FKB-Vann,0.0,False,1.1775227222432274,0.0,44
339,Dalenveien (sidebekk Totjern),Arendal,Mørfjærbekken inkl. bekkefelt,018.72,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,12.0,"Vandringshinder, er gitter oppstrøms. Noe hjemmelaget. Bekk stillestående og vannkvaliteten ser dårlig ut. ",0,8.831305413154455,58.50999291553177,8.831182581582004,58.50988905541186,8.83131469951208,58.50998841416603,0.737539768260432,0.737539768260432,Elvenett,1.6132522576785404,False,0.9163465366851139,0.0,37
342,Tromøy kirkevei (sidebekk Gjerstadvannet),Arendal,,019.11,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,10.0,Mye vegetasjon som fungerer som hinder nedstrøms. Mye vegetasjon som blokerer ,0,8.864617760992804,58.46147794256946,8.864728316211494,58.46160052075618,8.864628584290458,58.46147545512166,0.6895677228208568,489.3098196249817,FKB-Vann,0.6895677228732662,True,,,
360,Rykeneveien (Rannekleivbekken ned til Nidelva),Arendal,"Nidelva, Bekkefelt Helle",019.A12Z,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,180.0,"Mye søppel. Det er lav vannstand, men kulvert er veldig høy. Denne vil sannsynligvis by på problemer for både ål og anadrom fisk. Bekk ut fra kulvert burde vært lagt slik at vandring er greiere. ",0,8.699881704013265,58.42696577725355,8.69775769073558,58.42846065399869,8.699859926555183,58.42695758273527,1.5653002788688954,36.84539957281154,FKB-Vann,1.5653002789376427,False,0.0,0.0,17
375,Arendal ,Arendal,Mørfjærbekken inkl. bekkefelt,018.72,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,8.0,"Noe merkelig vannføring nedstrøms ut av kulvert, slik som vannmengden er nå. Kulvert bør ryddes for kvist. Tenker denne er hinder i lav grad, men ikke barriere. ",0,8.828814247905806,58.5135570369774,8.82868030199318,58.513651243300345,8.828833837779852,58.5135673396841,1.6181797615805729,1.6181797615805729,Elvenett,1.6443001383678262,False,8.041398630631829,0.09999999999999999,81
430,Arendal ,Arendal,Nidelva-ytre bekkefelt,019.2120,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,35.0,"Kulvert ikke direkte hinder, men er noe kvist og en stein som burde ryddes. Denne bør også sjekkes da det renner mye vann som sannsynligvis har veldig dårlig kvalitet inn i bekk. Ser ikke bra ut. ",0,8.697638548460485,58.4099611145295,8.69730233769853,58.41008761615248,8.697638548460485,58.4099611145295,0.0,5.004300833162882,FKB-Vann,0.0,False,2.4752273763042996,0.0,55
497,Tvedestrand ,Arendal,,018.71Z,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,12.0,"Litt usikker på denne, liten vannføring og ser ikke gjennom stikkrenne ",0,8.900906812925783,58.543954487503576,8.901150836672535,58.54402374161949,8.900894243992097,58.54395711640966,0.7880201748391603,374.23272623169817,FKB-Vann,0.7880201749492808,True,,,
499,Arendal ,Arendal,Messelbekken,019.B1,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,14.0,Noe kvist i bekk nedstrøms. Men grei bekk og kulvert ikke hinder. ,0,8.627739845808978,58.46671439266781,8.628025041793366,58.46667925803049,8.627739845808978,58.466714392667804,0.0,20.75445178018077,FKB-Vann,0.0,False,2.1544974352718342,0.42,85
510,Rykeneveien (Kvennebekken renner ned til Nidelva),Arendal,"Nidelva, Bekkefelt Helle",019.A12Z,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,30.0,"Ser fin ut nedstrøms, noe høyde mot kulvert, men bør være greit ved mer nedbør. Men kulvert ser ut til å være blokkert av kvist oppstrøms. ",bru,8.65563222561209,58.40975919975221,8.65606462295898,58.40997554074285,8.655671058580495,58.40974367888405,2.8522353383082764,7.854504134151855,FKB-Vann,2.8522353385374695,False,9.767534902197117,0.03,78
536,Langsæveien (Langsævannet til Barbuelva),Arendal,Barbuelva,019.12Z,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,70.0,Kulvert egentlig grei nedstøms. Mye søppel og slam. Blir blokkert av kvist oppstrøms. Gitter oppstrøms,0,8.760126624575497,58.47068121414157,8.758806090614177,58.47096036007322,8.760126624575497,58.470681214141564,0.0,6.917974915927998,FKB-Vann,0.0,False,24.00459594162565,1.6900000000000002,100
545,Arendal ,Arendal,Molandsvann bekkefelt,018.7B,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,12.0,"Er noe stigning opp mot bru, men denne er jevn og bør kunne forses. Men er hinder oppstrøms. ",bru,8.802510391942953,58.53787695226933,8.802264795398992,58.53780571186201,8.802510391942953,58.53787695226933,0.0,0.6145449479326335,FKB-Vann,0.0,False,5.981644197397949,0.17,88
563,Kystveien (bekk mellom Bjellandsvannet og Jorunnstadkilen),Arendal,"Flostadøysund, bekkefelt",018.712,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,10.0,Vandringshinder på grunn av gammelt ålekar. Går en vannledning gjennom kulvert. Men er helt tørt nedstrøms og under bru.,bru,8.916052929456658,58.537304641412895,8.915665827620778,58.53742278832456,8.916052929456658,58.53730464141291,0.0,1.7521172449443028,FKB-Vann,0.0,False,8.386302863398965,1.04,93
598,Tverrdalsøyveien (bekk mellom Tjønna og Staubøfjorden),Arendal,,018.711,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,25.0,"Kulvert ender i plastrør nedstrøms, regner med at denne kulverten er så kronglete invendig at denne blir hinder og mulig barriere for fisk. ",0,8.978688849303946,58.55848827670504,8.9795650650844,58.55870824446476,8.978697133129543,58.55848535467674,0.5815306193415938,1064.6240467412679,FKB-Vann,0.5815306193415938,True,,,
624,"Jernbaneveien (sidebekk Nesevja, som renner ut i Nidelva)",Arendal,Nidelva Furre - Rygene kraftverk bekkefelt,019.B1,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,6.0,"Et av betongelementene i kulverten er løsnet, og kulvert ser noe stengt ut mellom disse. Ser derfor ut som hinder ",0,8.621483433819673,58.43466939489362,8.621737098758544,58.43475615956449,8.621495420757633,58.43467588500185,1.0060252403854106,1.0060252403854106,Elvenett,239.56156434695217,False,0.01844787065549189,0.0,21
631,Arendal ,Arendal,"Mørløsvatnet - Nidelva, bekkefelt",019.B20,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,,"Gjenfinnes ikke oppstrøms. Litt lite vann, og svært stillestående vann. ",0,8.578279593240621,58.43995088785569,,,8.578251294831517,58.43995320788483,1.6722154451450724,1.6722154451450724,Elvenett,395.8333646123336,False,0.7135044096340403,0.12000000000000001,59
