id,stedsnavn,kommune,vassdrag,regine,vurdering_raw,barrier_category,barrier_color,barrier_label,problem_beskrivelse,diameter_cm,lengde_m,kommentar,kommentar_utfyllende,lon_ned,lat_ned,lon_opp,lat_opp,lon_snappet,lat_snappet,snap_avstand_m,oppstrom_lengde_km,oppstrom_innsjo_km2,prioriteringsscore,anadrom_strekning,ekspert_prioritering,type_tiltak,fagkommentar,prioritering_avstand_m
142,Arendal ,Arendal,"Longumvatnet, bekkefelt",019.12Z,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,12.0,"Grei kulvert nedstrøms, og fint bekkeløp. Bekk er helt tør. Stålkulvert, som er noe ødelagt innvendig oppstrøms. Se bilder på punkt oppstrøms. ",0,8.74684350292269,58.487697840438834,8.746636601449977,58.48763828961418,8.746885217629757,58.48767690649328,3.3686703620178635,0.7177833519670853,0.0,36,Nei,3,OmfattendeUtbedring,ØK Det er ikke anadrom strekning og det er ikke ørret i innsjø nedenfor. Ikke relevant som gytebekk for ørret. Kan ha funksjon for ål.,0.0
144,Skoleveien (bekk fra Stemmetjønn til fjord),Arendal,"Flostadøysund, bekkefelt",018.712,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,10.0,"Finner ikke utløp, veldig mye vegetasjon, gravd ned? ",0,8.869431572300067,58.50062665284006,8.869220935755544,58.50078493243331,8.869406281965013,58.50062075583486,1.61359698505964,1.250673209754681,0.06,66,Ja,1,LettRensk,,0.0
172,Tvedestrand ,Arendal,Bekk til Strengereidvannet,018.712,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,10.0,"Usikker på hinder, siden man ikke ser gjennom kulvert. Mistenker at denne er delvis fylt med sand og jord på grunn av vannhastighet. Og siden den ligger så dypt. Fin bekk nedstrøms, men noe kvist i bekk. ",0,8.89684309541206,58.53768238895748,8.897003808688726,58.53782993698207,8.896325212052627,58.53771331928935,30.347497548035413,1.2543871195688008,0.0,48,,,,,0.0
184,Arendal ,Arendal,"Nidelva, Bekkefelt Helle",019.A12Z,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,18.0,Småfisk i bekk nedstrøms. Usikker på om denne er hinder. Kan se ut som at ved lav vannføring renner vann ikke gjennom selve kulverten. Plus at betongelement er delvis løsnet oppstrøms. ,0,8.66038961979674,58.42805474694941,8.660596070351014,58.42815250962431,8.660430092491284,58.42803221315694,3.447009472690798,1.92170698945265,0.03,69,,,,,0.0
187,Arendal,Arendal,Mørløsvatnet - Nidelva,019.B20,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,16.0,"Noe høyde opp mot kulvert, men kulvert så dyp at denne bør kunne passeres (ikke ål) ved høyere vannføring. Er flere fisk nedstrøms, disse kommer ikke ned til elv ved lav vannføring. ",0,8.586659272543683,58.44209057565346,8.586736926093472,58.4422319168466,8.586688458316646,58.44207849733795,2.170629641914278,0.559011736802784,0.0,29,,,,,0.0
234,Arendal ,Arendal,Molandsvann bekkefelt,018.7B,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,15.0,"Selve kulvert er nok ikke hinder. Men er veldig bratt opp mot kulvert, uten veldig tydelig bekkeløp. ",0,8.8062940087741,58.54370235272559,8.805791751366172,58.54370737842513,8.80638987297007,58.543663250188594,7.077813887881865,0.6453218108453166,0.0,30,,,,,0.0
241,Riseveien / Jernbaneveien (bekk del av Riseevja som renner ut i Nidelva),Arendal,Messelbekken,019.B1,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,18.0,Demning blokkerer foran kulverter. Selve kulvert sannsynligvis ok. ,0,8.629023127613484,58.46609340299915,8.629155316720421,58.46593917797298,8.62903239913728,58.46609572932244,0.5997154440111785,3.830910733778126,0.11,82,,1,MindreUtbedring,,0.0
257,Arendal ,Arendal,Nidelva Furre - Rygene kraftverk bekkefelt,019.B1,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,20.0,Renner omtrent ikke noe vann gjennom denne. Grei bekk nedstrøms. ,0,8.620781881706577,58.44495575291543,8.62120081651813,58.44508371118588,8.620801458405278,58.44494439586753,1.704387795742138,1.1728686834261464,0.0,45,,,,,0.0
259,Arendal,Arendal,Molandsvann bekkefelt,018.7B,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,40.0,"Sannsynligvis ikke hinder. Greit bekkeløp nedstrøms, men vanskelig å finne oppstrøms.",0,8.799950630321632,58.53159968996475,8.799194436618523,58.53181457378672,8.799903215519706,58.53156716206252,4.554133615005532,0.8020074618054253,0.0,39,,,,,0.0
281,Arendal ,Arendal,Mørløsvatnet - Nidelva,019.B20,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,22.0,2 betongkulverter under bru. Vann passerer i kulverter ved lav vannføring.  Disse er tilbøyelige til å tettes oppstrøms. Ligger 3 sykler i bekk nedstrøms. ,bru,8.584000062145229,58.44241287456844,8.583873860341019,58.44250193916894,8.58397087862773,58.44238463732312,3.5759217588980072,18.31960966010916,1.11,95,,,,,0.0
285,Tromøy,Arendal,,019.11,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,10.0,"Ikke barriere, noe hinder. mye vegetasjon og igjengrod bekk. Selve kulvert mulig litt liten. Noe fisk bør passere.",0,8.90029550599602,58.50049860646099,8.90023789877216,58.50030182517371,8.914528056662487,58.49689175422732,921.6428861156444,0.0,0.0,18,,,,,0.0
288,Tromøy,Arendal,,019.11,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,25.0,Sannsynligvis ikke fiskeførende. ,0,8.859094919539697,58.47124650527719,8.85955350445802,58.4700664747951,8.85949581706901,58.46803980631653,357.80350806168,0.0,0.0,18,,,,,0.0
297,Arendal ,Arendal,"Nidelva, Bekkefelt Helle",019.A12Z,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,14.0,"Klein vannkvalitet nedstrøms. Mulig hinder, er litt høyde opp mot kulvert og bekk i stinging før dette. Ingen kulp og hoppe fra. ",0,8.64397711804937,58.42043318469958,8.643617402054291,58.42031547006378,8.643973245390274,58.42043731060562,0.5120633072237287,0.9868018842683436,0.0,43,,,,,0.0
299,Arendal ,Arendal,Molandsvann bekkefelt,018.7B,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,7.0,Kulvert er nok ikke noe mer hinder en det selve bekken er. Tvilsomt at denne bekken fører fisk ,0,8.835048708263653,58.531315121373446,8.8349013731152,58.53115240610953,8.834978797132582,58.53131287424304,4.078688940563019,0.5215731675333434,0.0,28,,,,,0.0
301,Tromøy ,Arendal,,019.11,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,8.0,"Kulvert under jorde, mye vegetasjon som vil kunne sperre ",0,8.899100163715929,58.4855923008111,8.898933417042993,58.48545177277087,8.910169393451833,58.49064681066887,856.2804576495218,0.0,0.0,18,,,,,0.0
317,Arendal ,Arendal,Nidelva Furre - Rygene kraftverk bekkefelt,019.B1,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,0.0,"Grei bekk nedstrøms, renner 2 forskjellige kulverter ut her. Litt lav vannstand, men renner en del vann igjennom. ",0,8.620717894573207,58.44493053221199,8.620907650054571,58.44528621332743,8.62074230761388,58.44491636946792,2.12544916960936,1.1775227222444686,0.0,46,,,,,0.0
339,Dalenveien (sidebekk Totjern),Arendal,Mørfjærbekken inkl. bekkefelt,018.72,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,12.0,"Vandringshinder, er gitter oppstrøms. Noe hjemmelaget. Bekk stillestående og vannkvaliteten ser dårlig ut. ",0,8.831305413154455,58.50999291553177,8.831182581582004,58.50988905541186,8.83131469951208,58.50998841416603,0.7375397685258084,0.916346536685114,0.0,40,Ja,0,LettRensk,Gitteret må fjernes,0.0
342,Tromøy kirkevei (sidebekk Gjerstadvannet),Arendal,,019.11,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,10.0,Mye vegetasjon som fungerer som hinder nedstrøms. Mye vegetasjon som blokerer ,0,8.864617760992804,58.46147794256946,8.864728316211494,58.46160052075618,8.85633001115447,58.46214969681666,489.3097875643612,0.7135899186605554,0.27,65,Ja,0,,,0.0
360,Rykeneveien (Rannekleivbekken ned til Nidelva),Arendal,"Nidelva, Bekkefelt Helle",019.A12Z,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,180.0,"Mye søppel. Det er lav vannstand, men kulvert er veldig høy. Denne vil sannsynligvis by på problemer for både ål og anadrom fisk. Bekk ut fra kulvert burde vært lagt slik at vandring er greiere. ",0,8.699881704013265,58.42696577725355,8.69775769073558,58.42846065399869,8.700398024833786,58.42677562633105,36.84539957281154,0.0,0.0,18,Ja,2,UavklartMåBefares,Trolig større tiltak med usikker oppstrøms verdi.,0.0
375,Arendal ,Arendal,Mørfjærbekken inkl. bekkefelt,018.72,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,8.0,"Noe merkelig vannføring nedstrøms ut av kulvert, slik som vannmengden er nå. Kulvert bør ryddes for kvist. Tenker denne er hinder i lav grad, men ikke barriere. ",0,8.828814247905806,58.5135570369774,8.82868030199318,58.513651243300345,8.828833837779852,58.51356733968411,1.6181797614229894,8.041398630631829,0.0999999999999999,81,,,,,0.0
430,Arendal ,Arendal,Nidelva-ytre bekkefelt,019.2120,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,35.0,"Kulvert ikke direkte hinder, men er noe kvist og en stein som burde ryddes. Denne bør også sjekkes da det renner mye vann som sannsynligvis har veldig dårlig kvalitet inn i bekk. Ser ikke bra ut. ",0,8.697638548460485,58.4099611145295,8.69730233769853,58.41008761615248,8.697699987675787,58.40999242701495,5.004300833327745,2.4752273763043,0.0,55,,,,,0.0
497,Tvedestrand ,Arendal,,018.71Z,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,12.0,"Litt usikker på denne, liten vannføring og ser ikke gjennom stikkrenne ",0,8.900906812925783,58.543954487503576,8.901150836672535,58.54402374161949,8.89486359718782,58.54280787059766,374.2323583720432,0.6710494778978631,0.0,32,,,,,0.0
499,Arendal ,Arendal,Messelbekken,019.B1,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,14.0,Noe kvist i bekk nedstrøms. Men grei bekk og kulvert ikke hinder. ,0,8.627739845808978,58.46671439266781,8.628025041793366,58.46667925803049,8.627462944948874,58.46683142515925,20.754451780254826,2.1544974352718342,0.42,85,,,,,0.0
510,Rykeneveien (Kvennebekken renner ned til Nidelva),Arendal,"Nidelva, Bekkefelt Helle",019.A12Z,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,30.0,"Ser fin ut nedstrøms, noe høyde mot kulvert, men bør være greit ved mer nedbør. Men kulvert ser ut til å være blokkert av kvist oppstrøms. ",bru,8.65563222561209,58.40975919975221,8.65606462295898,58.40997554074285,8.65574929827015,58.40972471952429,7.84448887654518,9.767138380498151,0.03,77,Ja,0,LettRensk,Viktig sidebekk til Nidelva.,0.0
536,Langsæveien (Langsævannet til Barbuelva),Arendal,Barbuelva,019.12Z,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,70.0,Kulvert egentlig grei nedstøms. Mye søppel og slam. Blir blokkert av kvist oppstrøms. Gitter oppstrøms,0,8.760126624575497,58.47068121414157,8.758806090614177,58.47096036007322,8.760073563517569,58.47062564679823,6.917974916015246,24.00459594162565,1.6900000000000002,100,Nei,3,LettRensk,"ØK Det er antakelig ikke noe poeng å renske opp her da det ikke er sjøørret her, og det er gjedde i Langsævannet",0.0
545,Arendal ,Arendal,Molandsvann bekkefelt,018.7B,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,12.0,"Er noe stigning opp mot bru, men denne er jevn og bør kunne forses. Men er hinder oppstrøms. ",bru,8.802510391942953,58.53787695226933,8.802264795398992,58.53780571186201,8.802511060378052,58.53787144394747,0.6145449482235495,5.981644197397949,0.17,85,,,,,0.0
563,Kystveien (bekk mellom Bjellandsvannet og Jorunnstadkilen),Arendal,"Flostadøysund, bekkefelt",018.712,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,10.0,Vandringshinder på grunn av gammelt ålekar. Går en vannledning gjennom kulvert. Men er helt tørt nedstrøms og under bru.,bru,8.916052929456658,58.537304641412895,8.915665827620778,58.53742278832456,8.916068029488777,58.53731825340305,1.752117244881756,8.386302863398965,1.04,92,Ja,1,MindreUtbedring,,0.0
598,Tverrdalsøyveien (bekk mellom Tjønna og Staubøfjorden),Arendal,,018.711,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,25.0,"Kulvert ender i plastrør nedstrøms, regner med at denne kulverten er så kronglete invendig at denne blir hinder og mulig barriere for fisk. ",0,8.978688849303946,58.55848827670504,8.9795650650844,58.55870824446476,8.96130946142896,58.55549959917283,1064.624046741268,0.0,0.0,18,,,,,0.0
624,"Jernbaneveien (sidebekk Nesevja, som renner ut i Nidelva)",Arendal,Nidelva Furre - Rygene kraftverk bekkefelt,019.B1,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,6.0,"Et av betongelementene i kulverten er løsnet, og kulvert ser noe stengt ut mellom disse. Ser derfor ut som hinder ",0,8.621483433819673,58.43466939489362,8.621737098758544,58.43475615956449,8.621495420757633,58.43467588500185,1.006025240556672,0.0184478706554918,0.0,23,Ja,1,MindreUtbedring,,0.0
631,Arendal ,Arendal,"Mørløsvatnet - Nidelva, bekkefelt",019.B20,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,,"Gjenfinnes ikke oppstrøms. Litt lite vann, og svært stillestående vann. ",0,8.578279593240621,58.43995088785569,,,8.578251294831517,58.43995320788483,1.6722154451285782,0.7135044096340403,0.12,60,,,,,0.0
